Zeit;Kanal A;Kanal B
(ms);(V);(V)

-4,64218749;0,00000000;0,52036172
-4,62625949;0,00000000;0,60709894
-4,61033149;0,00000000;0,52036172
-4,59440349;0,00000000;0,31219241
-4,57847549;0,01753199;0,00000000
-4,56254749;0,00000000;-0,27749753
-4,54661949;0,00000000;-0,48566684
-4,53069149;0,00000000;-0,53770918
-4,51476350;0,00000000;-0,43362451
-4,49883550;0,00000000;-0,22545521
-4,48290750;0,00000000;0,03463336
-4,46697950;0,00000000;0,27749753
-4,45105150;0,00000000;0,43362451
-4,43512350;0,00000000;0,46831939
-4,41919550;0,00000000;0,36423475
-4,40326750;0,00000000;0,15606545
-4,38733950;0,00000000;-0,06932825
-4,37141150;0,00000000;-0,27749753
-4,35548351;0,00000000;-0,38158217
-4,33955551;0,00000000;-0,39892963
-4,32362751;0,00000000;-0,29484499
-4,30769951;0,00000000;-0,10402313
-4,29177151;0,00000000;0,10402313
-4,27584351;0,00000000;0,26015010
-4,25991551;0,00000000;0,34688729
-4,24398751;0,00000000;0,32953987
-4,22805951;0,00000000;0,22545521
-4,21213152;0,00000000;0,06932825
-4,19620352;0,00000000;-0,10402313
-4,18027552;0,00000000;-0,24280265
-4,16434752;0,00000000;-0,31219241
-4,14841952;0,00000000;-0,27749753
-4,13249152;-0,01753199;-0,19076033
-4,11656352;0,00000000;-0,03463336
-4,10063552;0,00000000;0,12137057
-4,08470752;0,00000000;0,24280265
-4,06877953;0,00000000;0,27749753
-4,05285153;0,00000000;0,24280265
-4,03692353;0,00000000;0,13871801
-4,02099553;0,00000000;0,01728592
-4,00506753;0,00000000;-0,12137057
-3,98913953;0,00000000;-0,20810777
-3,97321153;0,00000000;-0,24280265
-3,95728353;0,00000000;-0,19076033
-3,94135553;0,00000000;-0,10402313
-3,92542754;0,00000000;0,01728592
-3,90949954;0,00000000;0,13871801
-3,89357154;0,00000000;0,20810777
-3,87764354;0,00000000;0,20810777
-3,86171554;0,00000000;0,15606545
-3,84578754;0,00000000;0,06932825
-3,82985954;0,00000000;-0,03463336
-3,81393154;0,00000000;-0,12137057
-3,79800354;0,00000000;-0,17341289
-3,78207555;0,00000000;-0,17341289
-3,76614755;0,00000000;-0,12137057
-3,75021955;0,00000000;-0,03463336
-3,73429155;0,00000000;0,05198081
-3,71836355;0,00000000;0,12137057
-3,70243555;0,00000000;0,15606545
-3,68650755;0,00000000;0,15606545
-3,67057955;0,00000000;0,10402313
-3,65465155;0,00000000;0,03463336
-3,63872356;0,00000000;-0,05198081
-3,62279556;0,00000000;-0,12137057
